Contact Name,Call Type,Call ID,Call Receive Tone
SQ9WRT Marcin,2,2600097,1
SP5DPD Wojtek,2,2600098,1
SP6TP Tadeusz,2,2600099,1
SP7KS Krzysztof,2,2600100,1
SP6MRU Marcin,2,2600101,1
SP9RPS Krzysztof,2,2600102,1
SP7WWO Tomasz,2,2600103,1
SP4UBW Dariusz,2,2600104,1
SP5LOT Tomasz,2,2600105,1
SP2LQP Piotr,2,2600106,1
SQ5NWO Radek,2,2600107,1
SQ2KL Krystian,2,2600108,1
SP8SKZ Konrad,2,2600109,1
SP9SK Aleksander,2,2600110,1
SP7GJA Pawel,2,2600111,1
SQ9GT Grzegorz,2,2600113,1
SP20EJ Robert,2,2600114,1
SP9ANC Robert,2,2600115,1
SP2EGA no_name,2,2600116,1
SQ5DN Daniel,2,2600117,1
SP9ITP Tomasz,2,2600118,1
SP6KZ Konrad,2,2600119,1
SP7PSD Pawel,2,2600120,1
SQ5NBY Michal,2,2600121,1
SP2ZIE no_name,2,2600123,1
SP3U Wojciech,2,2600124,1
SP6SW Wojciech,2,2600125,1
SP5DDF Andrzej,2,2600126,1
SP6IGS Igor,2,2600127,1
SP9MRN Mac,2,2600128,1
SQ3EPU Tomasz,2,2600129,1
SQ6SFO Jakub,2,2600130,1
SP5PBE Warsaw,2,2600131,1
SP1NQV Wojciech,2,2600132,1
SQ3NMA Krzysztof,2,2600133,1
SQ3RS Jacek,2,2600134,1
SP2GCH Jacek,2,2600135,1
SQ5EXG Grzegorz,2,2600136,1
SP5BRH Bartek,2,2600137,1
SP5FWT Maciej,2,2600138,1
SP5UAD Slawomir,2,2600139,1
SP6TC Tomasz,2,2600140,1
SP1SK Kacper,2,2600141,1
SQ3IZ Jack,2,2600143,1
SP3HER Francisze,2,2600144,1
SP2NOM Piotr,2,2600145,1
SP4MSU Ryszard,2,2600146,1
SQ8OAX Bartosz,2,2600148,1
SP2U no_name,2,2600149,1
SQ2NUL no_name,2,2600150,1
SQ4SGH Grzegorz,2,2600151,1
SQ5EKU Robert,2,2600152,1
SP7TR Tomasz,2,2600153,1
SP3MKL Miroslaw,2,2600154,1
SP6VGA Dariusz,2,2600155,1
SP2YO Jaroslaw,2,2600156,1
SP3XPB Marcin,2,2600157,1
SP9UMI Adam,2,2600158,1
SP6TRD Andrzej,2,2600159,1
SQ3MZM Tomasz,2,2600160,1
SP5CIB Janusz,2,2600161,1
SQ8SBS Stanislaw,2,2600162,1
SP7JD Zygmunt,2,2600165,1
SQ1EUJ Jacek,2,2600166,1
SN5W Contest,2,2600167,1
SP73VOT Club,2,2600168,1
SQ6MPA Przemek,2,2600169,1
SQ2LYQ Przemysla,2,2600170,1
SP5GNI Miro,2,2600171,1
SQ5EKU Robert,2,2600174,1
SP6FCS Jarosaw,2,2600175,1
SP9KDR Klub,2,2600176,1
SQ7LRN Robert,2,2600177,1
SP8MP Michal,2,2600178,1
SP6ARC Piotr,2,2600179,1
SP5GNU Jozef,2,2600180,1
SP9LS Leszek,2,2600181,1
SQ4KBA Krzysztof,2,2600182,1
SQ5RTW Andrzej,2,2600183,1
SQ1PSH Tomasz,2,2600184,1
SQ5EBC Marcin,2,2600185,1
SP5ELW Edward,2,2600186,1
SQ9POL Slawek,2,2600187,1
SQ9MDK Artur,2,2600188,1
SQ5IRZ Grzegorz,2,2600189,1
SP7ENZ Dariusz,2,2600190,1
HF9MW Miosz,2,2600191,1
SQ9DJJ Marcin,2,2600192,1
SP4ATYB Sp4atyb,2,2600193,1
SQ9REM Remigiusz,2,2600194,1
SP3FMF Przemek,2,2600195,1
SQ9FIV Przemek,2,2600196,1
SP5CI Club,2,2600197,1
SQ1JA Adam,2,2600199,1
SP9NSZ Jozef,2,2600201,1
SP2FCF Roman,2,2600202,1
SP4ATYB Artur,2,2600203,1
SQ7FZS Sylwester,2,2600204,1
SP5OXM Mariusz,2,2600205,1
SP2RII Jacek,2,2600206,1
SP9TW Tomasz,2,2600208,1
SQ7BR Tomasz,2,2600210,1
SP6QM Kazimierz,2,2600211,1
SP2J Michal,2,2600212,1
SP1MM Michal,2,2600213,1
SP8ML Michal,2,2600214,1
SQ5STR Przemysla,2,2600216,1
SQ7RTR Rafal,2,2600217,1
SP1EC Krzysztof,2,2600218,1
SQ6GTL Boguslaw,2,2600219,1
SP3ZAC Scout,2,2600220,1
SQ2TAM Miroslaw,2,2600221,1
SQ7OCI Piotr,2,2600222,1
SP6EY Zbigniew,2,2600223,1
HF5BJZ Bartosz,2,2600224,1
SQ2EJF Dominik,2,2600225,1
SN5K Dawid,2,2600226,1
SP9EN Lukasz,2,2600227,1
SP9TA Tomasz,2,2600229,1
SP2CEL Damian,2,2600230,1
SQ5BPD no_name,2,2600231,1
SP2RAF Rafal,2,2600232,1
SP9JW Jaroslaw,2,2600233,1
SP1DOZ Slawomir,2,2600234,1
SP6ZOLW Zbigniew,2,2600235,1
SP6F Pawe,2,2600237,1
SP6JGD Slawomir,2,2600238,1
SQ9FMP Artur,2,2600239,1
SP8OK Jaroslaw,2,2600241,1
SQ2KTK Darek,2,2600242,1
SP9LDE Roman,2,2600243,1
SP5LXR Tomasz,2,2600244,1
SP0DP Podgajny,2,2600246,1
SP5MIT Jan,2,2600247,1
SQ6UV Tomasz,2,2600248,1
SP8UEL Mariusz,2,2600249,1
SP8JT Leszek,2,2600251,1
SP7CGH Piotr,2,2600252,1
SQ9KOT Mateusz,2,2600253,1
SQ8IJR Jacek,2,2600254,1
SQ7FGI Pawel,2,2600256,1
SP9KS Krystian,2,2600257,1
SP2SQT Jakub,2,2600258,1
SP7TW Wieczorek,2,2600259,1
SP7DMM Piotr,2,2600260,1
SQ9CWW Piotr,2,2600261,1
SP2LBV Waldemar,2,2600262,1
SQ7V Piotr,2,2600263,1
SP4SWD Parfeniuk,2,2600264,1
SQ2PDS Piotr,2,2600265,1
SP2OKO Pawel,2,2600266,1
SQ8DSP Krzysztof,2,2600267,1
SP4ADW Adam,2,2600268,1
SP7AJ Jakubowski,2,2600269,1
SP9JP Jerzy,2,2600270,1
SP6ET Piotr,2,2600271,1
SP3MAJ Lukasz,2,2600272,1
SQ7LQJ Jan,2,2600273,1
SP3AAL Michal,2,2600274,1
SQ9HHT Pawel,2,2600275,1
SQ5NAW Wrzosek,2,2600276,1
SP7TSK Jakub,2,2600277,1
SO9MOO Roman,2,2600278,1
SQ6MTB Lukasz,2,2600279,1
SP5ATT Slawomir,2,2600280,1
SP5AMG Jaroslaw,2,2600281,1
SP3EDQ Tadeusz,2,2600282,1
SQ5RDA Dominik,2,2600283,1
SP9TE Tomasz,2,2600284,1
SP9IRC Krystian,2,2600286,1
SQ5JUI Konrad,2,2600287,1
SP2KDL Kamil,2,2600288,1
SQ3MU Konrad,2,2600289,1
SP6DOL Pawel,2,2600290,1
SP9MX Mateusz,2,2600291,1
SQ1MNE Arkadiusz,2,2600292,1
SP2PS Piotr,2,2600294,1
SQ8MXC Cezary,2,2600295,1
SP1MD Daniel,2,2600296,1
SP2PJS Pawel,2,2600297,1
SQ9HH Manuel,2,2600298,1
SO5RF Mariusz,2,2600299,1
SP9ODT Adam,2,2600301,1
SP4MK Marcin,2,2600302,1
SP3MR Rafal,2,2600303,1
SQ7BCN Marek,2,2600304,1
SP4TRB Rafal,2,2600305,1
SQ6WG Wojtek,2,2600306,1
SQ3TGW Pawel,2,2600307,1
SQ5SPG Pawel,2,2600308,1
SQ2DOK Michal,2,2600309,1
SP3ITD Marcin,2,2600310,1
SP0R Robert,2,2600311,1
SP7BR Bartosz,2,2600312,1
SP0K Krystyna,2,2600313,1
SP7NPZ Wojciech,2,2600315,1
SP9RPS Krzysztof,2,2600316,1
SP5SWR Robert,2,2600317,1
SQ9IDE Damian,2,2600318,1
SP5MGC Marcin,2,2600319,1
SP3MCO Marek,2,2600320,1
SP1F Zbigniew,2,2600321,1
SP5AMN Janusz,2,2600323,1
SP9AM Andrzej,2,2600324,1
SQ1GPU Krzysztof,2,2600325,1
SP5Q Bogdan,2,2600326,1
HF3PMP Mateusz,2,2600327,1
SP3EOL Czeslaw,2,2600328,1
SP8EET Bartlomie,2,2600329,1
SP3VBH Halina,2,2600330,1
SP3ZBZ Klub,2,2600331,1
SP5HMM Michal,2,2600332,1
SQ7OCI Piotr,2,2600333,1
SP8KRET Lukasz,2,2600334,1
SQ3EYG Hieronim,2,2600335,1
SP6BRZ Dariusz,2,2600336,1
SP9WLC Tomasz,2,2600337,1
SQ9BTI Marcin,2,2600339,1
SP7AJ Arkadiusz,2,2600340,1
SQ9PVG Piotr,2,2600341,1
SQ6MW Maciej,2,2600342,1
SP5MJB Michal,2,2600343,1
SP7KOS Andrzej,2,2600344,1
SP4BPJ Piotr,2,2600346,1
SP5WND Kamil,2,2600347,1
SP5CQI Tadeusz,2,2600348,1
HF5TRD Andrzej,2,2600349,1
SP5Q Bogdan,2,2600350,1
SP7BTY Maciej,2,2600351,1
SQ9WO Wojciech,2,2600352,1
SP9BAD Bartosz,2,2600353,1
SP0TTV Piotr,2,2600354,1
SQ7KGG Artur,2,2600355,1
SP5MXJ Marek,2,2600356,1
SO0BAD Maciej,2,2600357,1
SP5TMI Tomasz,2,2600358,1
SP0TTV Piotr,2,2600359,1
SP8RS Robert,2,2600360,1
SP5UTI Pawel,2,2600361,1
SP5GEO Jerzy,2,2600362,1
SQ1A Lukasz,2,2600363,1
SP2GPJ Piotr,2,2600364,1
SP9QLJ Krzysztof,2,2600365,1
SQ9OLO Aleksande,2,2600366,1
SP8OS Bogumil,2,2600367,1
SQ5OMV Dariusz,2,2600368,1
SP5DC Seweryn,2,2600369,1
SQ5DA Artur,2,2600370,1
SP7VLS Krzysztof,2,2600371,1
SP9LIV Krystian,2,2600372,1
SP2LMA Miroslaw,2,2600373,1
SQ9TM Marek,2,2600375,1
HF9CW Stella,2,2600376,1
SQ2RCB Andrzej,2,2600377,1
SP4DW Dawid,2,2600378,1
SQ9LCX Miroslaw,2,2600379,1
SP7ZHP Harcerski,2,2600380,1
SP6OOL Robert,2,2600381,1
SP8WW Wojciech,2,2600382,1
SQ7OFB Andrzej,2,2600383,1
SP0ZHP Polish,2,2600384,1
SP5ZHJ Polish,2,2600385,1
SP5ZIP Harcerski,2,2600386,1
SP9MOM Maciej,2,2600387,1
SP9TT Tadeusz,2,2600388,1
SP9MQU Eugeniusz,2,2600389,1
SP7SMF Marek,2,2600390,1
SP9PKS Klub,2,2600391,1
SP1GAL Krzysztof,2,2600393,1
SQ5MOG Wojciech,2,2600394,1
SQ7FBP Mariusz,2,2600395,1
SP7KGO Terenowy,2,2600396,1
SP5BOB Rafal,2,2600397,1
SP7HO Jacek,2,2600398,1
SO5DZ Przemysaw,2,2600399,1
SP7SMF Mark,2,2600400,1
HF9ZHP Zhpbedzin,2,2600401,1
SP5RAK Robert,2,2600402,1
SP6DG Dawid,2,2600403,1
SP8MZB Aleksande,2,2600404,1
SP1TJ Marek,2,2600405,1
SQ3SHC Stanislaw,2,2600406,1
SP3AMO Marek,2,2600407,1
SQ9FSH Krzysztof,2,2600408,1
SQ9TCK Tadeusz,2,2600409,1
SQ5FGH Dariusz,2,2600410,1
SP5HBY Hubert,2,2600411,1
SO5I Wojciech,2,2600412,1
SQ5DJ Jacek,2,2600413,1
SP5SF Marek,2,2600414,1
SQ5HQX Malgorzat,2,2600415,1
SQ8P Patryk,2,2600416,1
SQ7SE Andrzej,2,2600417,1
SP9OUR Tomasz,2,2600418,1
SQ5ETB Tomasz,2,2600419,1
SP8RR Ryszard,2,2600420,1
SQ1KSH Maciej,2,2600421,1
SQ9EZE Piotr,2,2600422,1
SP5SZE Maciej,2,2600423,1
SP5RZW Andrzej,2,2600425,1
SP5CAR Artur,2,2600426,1
SP2PR Pawe,2,2600427,1
SP9DLK Wojciech,2,2600428,1
SQ5MRD Mikolaj,2,2600429,1
SP1ITU Ruediger,2,2600430,1
SQ3OPF Pawel,2,2600431,1
SP3UCC Janusz,2,2600433,1
SP6RTS Miroslaw,2,2600434,1
SQ5RSZ Robert,2,2600435,1
SP9GXT Grzegorz,2,2600436,1
SQ8MXP Lukasz,2,2600437,1
SO2M Lukasz,2,2600438,1
SQ9DKV Leszek,2,2600439,1
SQ7LQA Tomasz,2,2600440,1
SP7TS Tomasz,2,2600441,1
SP6KOA Radoslaw,2,2600442,1
SP3DRY Alfred,2,2600443,1
SQ7ROT Rafal,2,2600444,1
SP5BPI Wieslaw,2,2600445,1
SQ9XD Szymon,2,2600446,1
SP8JCF Maciej,2,2600447,1
SQ3KT Sylwester,2,2600448,1
SQ9TLA Adam,2,2600449,1
SP7JAG Jakub,2,2600450,1
SP4CAT Aleksande,2,2600451,1
SP6JZG Jerzy,2,2600452,1
SP6RTX Andrzej,2,2600453,1
SP1AKA Adam,2,2600454,1
SP9NFB Artur,2,2600455,1
SP5EPD Pawel,2,2600456,1
SP9AE Waldemar,2,2600457,1
SP6JAP Janusz,2,2600458,1
SQ3BW Wojciech,2,2600459,1
SP5WAB Tomasz,2,2600460,1
SQ6SFX Michal,2,2600461,1
SP4KOT Dawid,2,2600462,1
SQ9JYL Milosz,2,2600463,1
SP1MPW Pawel,2,2600464,1
SP5J Jan,2,2600465,1
SP7PBC Skierniew,2,2600466,1
SP1AL Andrzej,2,2600468,1
SP1IC Irek,2,2600469,1
SQ1EUF Jaroslaw,2,2600470,1
SQ6RKU Dominik,2,2600471,1
SQ6UV Tomasz,2,2600472,1
SQ9PIO Piotr,2,2600473,1
SQ7JZN Aleksande,2,2600474,1
SP6IZU Hubert,2,2600475,1
SP3VN Jacek,2,2600476,1
SQ8KJJ Krzysztof,2,2600479,1
SP9TMK Michal,2,2600481,1
SP1RWX Rafal,2,2600482,1
SP2SKL Jakub,2,2600483,1
SQ4FAU Zdzislaw,2,2600485,1
SP0MM Michal,2,2600486,1
SQ5DAL Leszek,2,2600487,1
SP7AYJ Jerzy,2,2600488,1
SP6QKX Daniel,2,2600489,1
SP5MSW Zbigniew,2,2600490,1
SP6NIP Eugeniusz,2,2600491,1
SP1TC Damian,2,2600492,1
SQ7OWN Piotr,2,2600493,1
SQ7OS Piotr,2,2600494,1
SP6MED Mateusz,2,2600495,1
SQ4PKO Jacek,2,2600496,1
SP1SU Kacper,2,2600498,1
SP8NFH Andrzej,2,2600499,1
SQ7AIE Andrzej,2,2600500,1
SP6LZA Marcin,2,2600501,1
SP6XXB Henryk,2,2600502,1
SQ7BCE Marcin,2,2600503,1
SP9KJK Jan,2,2600504,1
SP3GVG Grzegorz,2,2600505,1
SO1SS Armand,2,2600506,1
SQ6RDO Artur,2,2600507,1
SO3AKO Tomasz,2,2600508,1
SQ9RII Szymon,2,2600509,1
SP2DW Darek,2,2600511,1
SQ9MSE Grzegorz,2,2600512,1
SQ2MTK Grzegorz,2,2600513,1
SQ9HHC Waldemar,2,2600514,1
SP9HG Boguslaw,2,2600515,1
SP8UZI Janusz,2,2600516,1
SP5XMD Maciej,2,2600517,1
HF4ALL Marcin,2,2600518,1
SQ6POE Jan,2,2600519,1
SQ6ILJ Jakub,2,2600520,1
SP6MAW Mariusz,2,2600521,1
SP7WQZ Zdzislaw,2,2600522,1
SQ7QM Dariusz,2,2600523,1
SP9SR Jacek,2,2600524,1
SQ7QM Dariusz,2,2600525,1
SP5IYD Jerzy,2,2600526,1
SQ9BDB Artur,2,2600527,1
SP4DS Daniel,2,2600528,1
SQ5PEP Piotr,2,2600529,1
SP1UF Franciszek,2,2600530,1
SP2PA Tymoteusz,2,2600531,1
SQ6DJ Piotr,2,2600532,1
SP6CRV Lukasz,2,2600533,1
SP3AWK Cezary,2,2600534,1
SP5PRP Pawel,2,2600535,1
SQ3TGQ Piotr,2,2600536,1
SP6MLT Andrzej,2,2600538,1
SQ9RIF Janusz,2,2600539,1
SQ6IYD Mariusz,2,2600540,1
SQ5PS Pawel,2,2600541,1
SQ5AGD no_name,2,2600542,1
SP7ZEG Piotr,2,2600544,1
SP5UFK Adam,2,2600545,1
SP5MTY Mateusz,2,2600546,1
SP2SNF Sebastian,2,2600547,1
SQ5EWE Ewelina,2,2600549,1
SQ7LQA Tomasz,2,2600550,1
SP6NVB Bogdan,2,2600551,1
SQ5RS Jakub,2,2600552,1
SQ9KWX Grzegorz,2,2600553,1
SQ7ROT Rafal,2,2600555,1
SP9FTW Walenty,2,2600556,1
SQ9MLC Leszek,2,2600557,1
SP6TPX Roman,2,2600558,1
SP2WAN Mateusz,2,2600561,1
SP2REK Pawel,2,2600562,1
SP2QCQ Edward,2,2600563,1
3Z5S Witold,2,2600564,1
SQ7FGV Tomasz,2,2600565,1
SP3KO Jaroslaw,2,2600566,1
SQ5K Michal,2,2600567,1
SP9XLC Andrzej,2,2600568,1
SP2SCH Michal,2,2600569,1
SQ6BL Lukasz,2,2600570,1
SP4SV Marek,2,2600572,1
SQ3LVF Andrzej,2,2600573,1
SQ9NJJ Bartlomie,2,2600574,1
SQ6NCN Sylwester,2,2600575,1
SP3B Bartosz,2,2600576,1
SP9VEP Tomasz,2,2600577,1
SP0J Dawid,2,2600578,1
SQ3KNT Zdzislaw,2,2600579,1
SQ5NBR Janek,2,2600580,1
SQ6NLN Wlodzimie,2,2600581,1
SP5XHJ Czeslaw,2,2600582,1
SP6OM Mateusz,2,2600583,1
SP5TL Tomasz,2,2600584,1
SP7WNY Wlodzimie,2,2600585,1
SQ5PTY Pawel,2,2600586,1
SP44WFF Ryszard,2,2600587,1
SP6EWO Oleg,2,2600588,1
SQ9MDN Jacek,2,2600589,1
SQ1SDY Tadeusz,2,2600590,1
SP2HBS Tomasz,2,2600591,1
3Z5YT Artur,2,2600592,1
SP4ZHT Zhp,2,2600593,1
SQ6BBX Maciej,2,2600595,1
SP7WQV Edward,2,2600596,1
SP1LON Piotr,2,2600597,1
SP6AW Andrzej,2,2600598,1
SQ4P Przemek,2,2600599,1
SQ2AGA Agnieszka,2,2600601,1
SQ6JNH Janusz,2,2600602,1
SP9OKO Kacper,2,2600603,1
SP1ARE Arkadiusz,2,2600604,1
SQ8OY Mariusz,2,2600605,1
SP7WM Wojciech,2,2600606,1
SP1WR Marek,2,2600607,1
SQ1KTO Bartosz,2,2600608,1
SP6APM Pawel,2,2600609,1
SQ6BMW Robert,2,2600611,1
SQ8JMZ Robert,2,2600612,1
SP6NXT Stanislaw,2,2600614,1
SQ2RPK Andrzej,2,2600616,1
SQ2CDC Cezary,2,2600617,1
SP2CDN Cezary,2,2600618,1
3Z3O Artur,2,2600619,1
SQ4PBM Stanislaw,2,2600620,1
SQ9ORK Marcin,2,2600621,1
SQ9LDR Marcin,2,2600622,1
SP5MXG Tadeusz,2,2600623,1
SP9SZR Robert,2,2600624,1
SP1RA Andrzej,2,2600625,1
SQ9NOP Piotr,2,2600626,1
SQ5FNQ Marcin,2,2600627,1
SQ5WJP Witold,2,2600629,1
SQ9GEE Lukasz,2,2600630,1
SQ1MNC Michal,2,2600631,1
SN9E Mateusz,2,2600632,1
SP2BPK Piotr,2,2600633,1
SQ9HYR Tomasz,2,2600634,1
SP9IT Jacek,2,2600635,1
SP3LRZ Jerzy,2,2600636,1
SQ5APT Przemek,2,2600637,1
SP7NW Karol,2,2600638,1
HF3DWD Robert,2,2600639,1
SQ7KHW Michal,2,2600641,1
SP3EAT Andrzej,2,2600642,1
SP5JG Marek,2,2600643,1
SQ9JDH Dariusz,2,2600644,1
SQ8KO Krzysztof,2,2600645,1
SP3CW Artur,2,2600646,1
SQ6ILB Grzegorz,2,2600647,1
SQ9IPX Krystian,2,2600648,1
SP5WTF Piotr,2,2600650,1
SP8PKT Dariusz,2,2600651,1
SP8IPJ Miroslaw,2,2600652,1
SQ8RB Pawel,2,2600653,1
SP3OTN Jan,2,2600654,1
SP8AQK Adrian,2,2600655,1
SQ2HEI Piotr,2,2600656,1
SQ5LPT Lukasz,2,2600657,1
SP3NUH Jacek,2,2600658,1
SP1HX Henryk,2,2600659,1
SQ7SCD Dominik,2,2600661,1
SP5NVX Tomasz,2,2600662,1
SP6WJM Wojciech,2,2600663,1
SQ9IWU Ryszard,2,2600664,1
SQ3AM Artur,2,2600665,1
SP7MTU Zbigniew,2,2600666,1
SP9THO Krzysztof,2,2600667,1
SQ2NNR Arkadiusz,2,2600669,1
SQ7LRW Waldek,2,2600670,1
SP9EOT Pawel,2,2600671,1
SP2LIU Darek,2,2600672,1
SP9ADI Adam,2,2600673,1
SP8GB Grzegorz,2,2600674,1
SQ2DW Dawid,2,2600675,1
SP6JBF Jacek,2,2600676,1
SP4H Tomasz,2,2600677,1
SP4QK Jakub,2,2600678,1
SP7XIX Jerzy,2,2600679,1
SQ2LXT Tomasz,2,2600681,1
SP4SP Grzegorz,2,2600682,1
SP3WVQ Andrzej,2,2600683,1
SP3SLU Jerzy,2,2600684,1
SP6MG Marek,2,2600686,1
SP3CMX Mieczysla,2,2600688,1
SQ9DDY Janusz,2,2600689,1
SP3OKS Slawomir,2,2600690,1
SP4AGA Agnieszka,2,2600692,1
SQ3SWA Artur,2,2600693,1
SP5RST Robert,2,2600694,1
SQ9CSB Sebastian,2,2600695,1
SQ9KGB Dariusz,2,2600696,1
SP6ADD Dawid,2,2600697,1
SQ7LQT Zibi.,2,2600698,1
SP9OUV Jacek,2,2600699,1
SP7CC Arek,2,2600700,1
SP7ELO Bartosz,2,2600701,1
SQ2KAK Mariusz,2,2600702,1
SQ8NQW Marek,2,2600703,1
SQ7RAI Artur,2,2600704,1
SQ9JDR Janusz,2,2600705,1
SQ2PPL Sebastian,2,2600706,1
SP7PGK Osiedlowy,2,2600707,1
SQ7HJX Przemek,2,2600708,1
SP8LNK Stanislaw,2,2600709,1
SQ1DNJ Dariusz,2,2600710,1
SP5SLT Krzysztof,2,2600711,1
SQ2M Marek,2,2600712,1
SP8RO Robert,2,2600713,1
SP6PNZ Klub,2,2600714,1
SO9AHC Krystian,2,2600715,1
SP9VRF Stanislaw,2,2600716,1
SQ3GNN Adam,2,2600717,1
SP4LIN Krzysztof,2,2600718,1
SQ9RHS Marek,2,2600719,1
SQ8MVO Piotr,2,2600720,1
SQ2JSG Marian,2,2600721,1
SQ2LYZ Daniel,2,2600722,1
SQ2JSN Jaroslaw,2,2600723,1
SP3AKL Krzysztof,2,2600724,1
SP6RG Bogdan,2,2600725,1
SP8RJK Dariusz,2,2600726,1
SQ3SWZ Zbigniew,2,2600727,1
SP1DK Dariusz,2,2600728,1
SP5MNF Marek,2,2600729,1
SP6RXP Piotr,2,2600730,1
SQ4HRX Krystian,2,2600732,1
SP6O Robert,2,2600733,1
SQ2OTP Dariusz,2,2600734,1
SQ7IQO Marek,2,2600735,1
SQ7HIL Piotr,2,2600736,1
SQ2MK Michal,2,2600737,1
SP1HM Henryk,2,2600738,1
SN5HRT Maciej,2,2600739,1
SP9FGZ Zbigniew,2,2600740,1
HF5WWL Robert,2,2600742,1
SN2DP Dariusz,2,2600743,1
SP8DK Tomasz,2,2600744,1
SP1MDR Stanislaw,2,2600745,1
SP5GRZ Grzegorz,2,2600746,1
SQ9BZ Lukasz,2,2600748,1
SP5BUD Kris,2,2600749,1
SQ5MS Marcin,2,2600750,1
SQ7EL Przemyslaw,2,2600751,1
SP5GSM Mariusz,2,2600752,1
SP8TJC Jacek,2,2600753,1
SP5DBW Jaroslaw,2,2600754,1
SQ5SZS Szymon,2,2600755,1
SP7JAC Jacek,2,2600757,1
SQ9QS Maciej,2,2600759,1
SP8PA Przemyslaw,2,2600760,1
SQ9LFC Czeslaw,2,2600761,1
SQ5MGD Dario,2,2600762,1
SP6DAN Daniel,2,2600763,1
SQ7AM Artur,2,2600764,1
SP4PSP Dominik,2,2600765,1
SP4PD Piotr,2,2600766,1
SP3IEG Jaroslaw,2,2600767,1
SQ6PR Piotr,2,2600768,1
SP9RPH Tadeusz,2,2600769,1
SQ7KGH Karol,2,2600770,1
SP2DJN Daniel,2,2600771,1
SP8IRZ Leszek,2,2600772,1
SQ9LFB Andrzej,2,2600773,1
SP3PDA Adam,2,2600774,1
